Date,Close,MA_7,MA_30,MA_90,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2000-10-23,200.75,202.57142857142858,197.88333333333333,186.49107142857142,4.71,16.896666,970.765,2.1999998,10.0
2000-10-24,200.75,202.21428571428572,198.36666666666667,186.65882352941176,10.44,17.9175,29319.984,0.0,0.0
2000-10-25,199.5,201.85714285714286,198.80833333333334,186.8081395348837,9.95,19.475834,31954.102,1.1,6.0
2000-10-26,198.0,201.14285714285714,199.075,186.9367816091954,9.35,18.402918,30007.14,3.8999996,12.0
2000-10-27,196.25,200.17857142857142,199.26666666666668,187.04261363636363,12.57,13.861251,34589.832,0.0,0.0
2000-10-28,196.25,199.21428571428572,199.45833333333334,187.14606741573033,6.19,12.100834,12821.83,0.0,0.0
2000-10-29,196.25,198.25,199.6,187.24722222222223,4.96,12.338332,3418.2104,0.90000004,6.0
2000-10-30,196.0,197.57142857142858,199.73333333333332,187.42777777777778,10.68,15.423749,32593.242,6.1000004,13.0
2000-10-31,196.0,196.89285714285714,199.86666666666667,187.6,9.26,15.711249,29439.129,0.2,2.0
2000-11-01,196.0,196.39285714285714,200.0,187.77777777777777,7.11,18.507084,23121.273,8.499999,10.0
2000-11-02,202.25,197.0,200.23333333333332,188.0388888888889,12.38,13.325833,33621.844,4.2,3.0
2000-11-03,202.25,197.85714285714286,200.325,188.3,12.19,8.59875,33463.105,0.0,0.0
2000-11-04,202.25,198.71428571428572,200.38333333333333,188.5611111111111,11.16,8.961249,30933.246,0.0,0.0
2000-11-05,202.25,199.57142857142858,200.475,188.83333333333334,5.04,9.37375,13296.78,1.5000001,6.0
2000-11-06,209.5,201.5,200.80833333333334,189.16666666666666,0.76,10.411248,0.0,28.5,22.0
2000-11-07,211.25,203.67857142857142,201.2,189.53333333333333,6.76,4.1299996,15732.466,0.8000001,5.0
2000-11-08,213.5,206.17857142857142,201.66666666666666,189.9361111111111,7.09,-1.3616667,17765.76,0.0,0.0
2000-11-09,211.25,207.46428571428572,202.125,190.34166666666667,7.01,-1.8679167,19949.562,0.0,0.0
2000-11-10,211.25,208.75,202.50833333333333,190.74722222222223,11.16,-1.4575,32396.01,0.0,0.0
2000-11-11,211.25,210.03571428571428,202.86666666666667,191.15277777777777,7.36,-0.8450001,17678.916,0.0,0.0
2000-11-12,211.25,211.32142857142858,203.10833333333332,191.54722222222222,4.16,1.7487497,3814.9392,2.8,11.0
2000-11-13,208.75,211.21428571428572,203.26666666666668,191.9138888888889,3.86,-1.4783331,5940.331,0.3,3.0
